wavelength_A,transmission
8079.036345628907,0.9986737950872037
8079.095831454324,0.9980003434687383
8079.1553099479315,0.9960578293473102
8079.214780978251,0.9940109443553466
8079.274244543231,0.9943805695699237
8079.333700640822,0.9967240463337058
8079.393149268978,0.9985508129614855
8079.452590425655,0.9993008666148803
8079.512024108813,0.9995525315952011
8079.571450316413,0.9996434223817691
8079.630869046419,0.9996551954236095
8079.6902802968025,0.9995604499523927
8079.749684065532,0.9993444269936913
8079.809080350583,0.9992053435602841
8079.868469149928,0.9993297437189865
8079.92785046155,0.999526891505106
8079.98722428343,0.9996043092637545
8080.046590613552,0.9995834753452871
8080.105949449906,0.9995072310590719
8080.165300790481,0.9993620521520272
8080.224644633269,0.9990616803521517
8080.283980976271,0.9984531628421284
8080.343309817482,0.997600173537484
8080.402631154904,0.9969786417250895
8080.461944986544,0.9965050205491776
8080.521251310409,0.9949837556859452
8080.580550124509,0.9911469008687032
8080.639841426856,0.9834653368555577
8080.699125215468,0.9725352382865716
8080.758401488362,0.9675524967186282
8080.81767024356,0.9749791883489419
8080.876931479088,0.9859901324110354
8080.936185192972,0.992448542154616
8080.995431383241,0.995099921015431
8081.054670047929,0.9960377388423576
8081.113901185072,0.9962140936618131
8081.173124792707,0.9962244445699664
8081.232340868875,0.9956529678928222
8081.291549411621,0.9934886361956131
8081.350750418992,0.9883794529376193
8081.409943889036,0.9808086097838484
8081.469129819807,0.9771354241845112
8081.5283082093565,0.9817333180996523
8081.5874790557455,0.9886671229036227
8081.646642357034,0.9912789661026786
8081.705798111283,0.987585769836835
8081.764946316562,0.9789806671818266
8081.824086970937,0.9738689741601372
8081.88322007248,0.9791209533915225
8081.942345619266,0.9882718374341088
8082.001463609371,0.9940832710438411
8082.0605740408755,0.9966066748590573
8082.1196769118615,0.9973754607175381
8082.178772220414,0.9972002555214521
8082.237859964622,0.9967317883229377
8082.296940142575,0.9963161587129985
8082.356012752366,0.995216800839148
8082.415077792092,0.9912903470265871
8082.474135259852,0.9834779549937658
8082.533185153747,0.977249032978196
8082.59222747188,0.979520044388152
8082.651262212359,0.987212923157113
8082.7102893732945,0.9934813935065846
8082.769308952798,0.9963496176912237
8082.8283209489855,0.9971154435244526
8082.887325359972,0.9973859479277818
8082.9463221838805,0.997763663894494
8083.005311418833,0.9977933721552246
8083.0642930629565,0.9966921467887142
8083.123267114378,0.993777685026378
8083.182233571229,0.9902108082247887
8083.241192431645,0.9893827752632004
8083.300143693759,0.9915814521657617
8083.359087355713,0.9939961339677271
8083.418023415649,0.995662594646547
8083.47695187171,0.9962981694559563
8083.5358727220455,0.9951567965541998
8083.594785964802,0.9909576432304595
8083.653691598135,0.9824702287388972
8083.712589620199,0.9735949134708418
8083.771480029151,0.973027371918835
8083.8303628231515,0.981145451359546
8083.889238000365,0.989814219916504
8083.948105558956,0.9947597671363962
8084.006965497093,0.99672045500067
8084.065817812949,0.9971580361389625
8084.124662504694,0.9969875860794841
8084.183499570508,0.9963147719495324
8084.242329008568,0.993878764365288
8084.301150817057,0.9888656948654218
8084.359964994157,0.9849508902150228
8084.418771538057,0.9870313344017888
8084.477570446945,0.9925924400698747
8084.536361719015,0.9965252027152752
8084.595145352459,0.9981590853872002
8084.653921345478,0.9987307906510592
8084.712689696269,0.9989216163455512
8084.7714504030355,0.9989320150713985
8084.830203463983,0.9987890566739069
8084.888948877318,0.9984168998459493
8084.9476866412515,0.9975263732674253
8085.006416753997,0.9952404546132225
8085.06513921377,0.9899578089623663
8085.123854018788,0.9821920199500641
8085.182561167272,0.9783448988496777
8085.241260657445,0.9829574116938041
