# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jun  5 17:54:41 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.400434065e+00 1.83018e-119 8.09610e-117 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.94800e-01 1.00000e+00 1.00000e+00 9.96771e-01 2.27823e-03
1.400448069e+00 3.27293e-96 1.44607e-93 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.95916e-01 1.00000e+00 1.00000e+00 9.96771e-01 2.27801e-03
1.400462074e+00 3.20982e-86 1.41953e-83 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.95381e-01 1.00000e+00 1.00000e+00 9.96772e-01 2.27779e-03
1.400476079e+00 1.12438e-83 4.96389e-81 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.97569e-01 1.00000e+00 1.00000e+00 9.96772e-01 2.27758e-03
1.400490083e+00 1.11051e-84 4.90248e-82 1.00000e+00 1.00000e+00 9.99991e-01 1.00000e+00 9.97598e-01 1.00000e+00 1.00000e+00 9.96772e-01 2.27736e-03
1.400504088e+00 1.33600e-91 5.90051e-89 1.00000e+00 1.00000e+00 9.99989e-01 1.00000e+00 9.97912e-01 1.00000e+00 1.00000e+00 9.96772e-01 2.27715e-03
1.400518093e+00 1.54945e-108 6.84012e-106 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.97797e-01 1.00000e+00 1.00000e+00 9.96772e-01 2.27693e-03
1.400532098e+00 1.09146e-153 4.82063e-151 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.97592e-01 1.00000e+00 1.00000e+00 9.96772e-01 2.27672e-03
1.400546104e+00 3.45038e-203 1.52423e-200 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.98009e-01 1.00000e+00 1.00000e+00 9.96772e-01 2.27650e-03
1.400560109e+00 9.82979e-178 4.33671e-175 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96610e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.27799e-03
1.400574115e+00 9.25366e-179 4.07748e-176 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95499e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.29010e-03
1.400588121e+00 8.09944e-209 3.55568e-206 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95070e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.30412e-03
1.400602126e+00 2.56853e-292 1.11899e-289 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96404e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.31822e-03
1.400616132e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96936e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.33241e-03
1.400630139e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.98530e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.34668e-03
1.400644145e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99995e-01 1.00000e+00 9.97879e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.36104e-03
1.400658151e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 9.97058e-01 1.00000e+00 1.00000e+00 9.96773e-01 2.37549e-03
1.400672158e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.98563e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.39003e-03
1.400686165e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97856e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.40466e-03
1.400700172e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98743e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.41937e-03
1.400714179e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98928e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.43418e-03
1.400728186e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.99163e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.44908e-03
1.400742193e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.99102e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.46407e-03
1.400756200e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98453e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.47915e-03
1.400770208e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98950e-01 1.00000e+00 1.00000e+00 9.96774e-01 2.49432e-03
1.400784216e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98564e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.50959e-03
1.400798223e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97964e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.52495e-03
1.400812231e+00 3.87537e-243 1.52949e-240 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96618e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.54041e-03
1.400826240e+00 1.22886e-183 4.81954e-181 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98086e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.55596e-03
1.400840248e+00 1.44315e-147 5.62118e-145 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98543e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.57160e-03
